"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,2707535,2707535,512,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,128,"MeanOccupancyPerCU",6.54782545e-02,577615169853023,577615169856791
1,1,"Agent 1",1,2707535,2707535,512,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,128,"OccupancyPercent",2.04619545e-01,577615169853023,577615169856791
2,2,"Agent 1",1,2707535,2707535,512,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,128,"MeanOccupancyPerCU",7.78693514e-02,577615169910391,577615169912595
2,2,"Agent 1",1,2707535,2707535,512,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,128,"OccupancyPercent",2.43341723e-01,577615169910391,577615169912595
3,3,"Agent 1",1,2707535,2707535,512,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,128,"MeanOccupancyPerCU",6.68836675e-02,577615170140504,577615170143870
3,3,"Agent 1",1,2707535,2707535,512,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,128,"OccupancyPercent",2.09011461e-01,577615170140504,577615170143870
4,4,"Agent 1",1,2707535,2707535,512,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,128,"MeanOccupancyPerCU",7.73755711e-02,577615170165792,577615170167916
4,4,"Agent 1",1,2707535,2707535,512,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,128,"OccupancyPercent",2.41798660e-01,577615170165792,577615170167916
5,5,"Agent 1",1,2707535,2707535,512,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,128,"MeanOccupancyPerCU",3.84905897e-02,577615170212400,577615170214123
5,5,"Agent 1",1,2707535,2707535,512,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,128,"OccupancyPercent",1.20283093e-01,577615170212400,577615170214123
6,6,"Agent 1",1,2707535,2707535,512,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,128,"MeanOccupancyPerCU",4.27167136e-02,577615170251653,577615170253377
