dataset,frequency_bin,normalized_power,signal_count,normalization
Kodak-24,1,1.0,24,per-signal radial PSD divided by bin 1
Kodak-24,2,0.3923174203421352,24,per-signal radial PSD divided by bin 1
Kodak-24,3,0.1791440660683505,24,per-signal radial PSD divided by bin 1
Kodak-24,4,0.12045414623218131,24,per-signal radial PSD divided by bin 1
Kodak-24,5,0.059327931110829714,24,per-signal radial PSD divided by bin 1
Kodak-24,6,0.04400933970101817,24,per-signal radial PSD divided by bin 1
Kodak-24,7,0.029149095068944687,24,per-signal radial PSD divided by bin 1
Kodak-24,8,0.02069127797878284,24,per-signal radial PSD divided by bin 1
Kodak-24,9,0.016871424337024862,24,per-signal radial PSD divided by bin 1
Kodak-24,10,0.012889497162269599,24,per-signal radial PSD divided by bin 1
Kodak-24,11,0.011638133571797328,24,per-signal radial PSD divided by bin 1
Kodak-24,12,0.009221145151601102,24,per-signal radial PSD divided by bin 1
Kodak-24,13,0.007424693415937519,24,per-signal radial PSD divided by bin 1
Kodak-24,14,0.006061984654645813,24,per-signal radial PSD divided by bin 1
Kodak-24,15,0.004988719077252395,24,per-signal radial PSD divided by bin 1
Kodak-24,16,0.004750589026435638,24,per-signal radial PSD divided by bin 1
Kodak-24,17,0.00378859225954219,24,per-signal radial PSD divided by bin 1
Kodak-24,18,0.0035598113388617537,24,per-signal radial PSD divided by bin 1
Kodak-24,19,0.003118171601939161,24,per-signal radial PSD divided by bin 1
Kodak-24,20,0.002537255137282,24,per-signal radial PSD divided by bin 1
Kodak-24,21,0.0023709942066756228,24,per-signal radial PSD divided by bin 1
Kodak-24,22,0.0020533631606586378,24,per-signal radial PSD divided by bin 1
Kodak-24,23,0.00194553189145792,24,per-signal radial PSD divided by bin 1
Kodak-24,24,0.001787956661715122,24,per-signal radial PSD divided by bin 1
Kodak-24,25,0.0016906190581534638,24,per-signal radial PSD divided by bin 1
Kodak-24,26,0.0015100050052851007,24,per-signal radial PSD divided by bin 1
Kodak-24,27,0.0014274544743550551,24,per-signal radial PSD divided by bin 1
Kodak-24,28,0.0012167515789544218,24,per-signal radial PSD divided by bin 1
Kodak-24,29,0.0011021799276186362,24,per-signal radial PSD divided by bin 1
Kodak-24,30,0.0010697665915375895,24,per-signal radial PSD divided by bin 1
Kodak-24,31,0.0009908982869414856,24,per-signal radial PSD divided by bin 1
Kodak-24,32,0.0010239218022373463,24,per-signal radial PSD divided by bin 1
Kodak-24,33,0.0009586945605460998,24,per-signal radial PSD divided by bin 1
Kodak-24,34,0.0008176228161067174,24,per-signal radial PSD divided by bin 1
Kodak-24,35,0.0007840828356899956,24,per-signal radial PSD divided by bin 1
Kodak-24,36,0.000692801631745396,24,per-signal radial PSD divided by bin 1
Kodak-24,37,0.000647256563060964,24,per-signal radial PSD divided by bin 1
Kodak-24,38,0.0006057501272916376,24,per-signal radial PSD divided by bin 1
Kodak-24,39,0.0005771018926373487,24,per-signal radial PSD divided by bin 1
Kodak-24,40,0.0005998766138409884,24,per-signal radial PSD divided by bin 1
Kodak-24,41,0.0005293180262433604,24,per-signal radial PSD divided by bin 1
Kodak-24,42,0.0005126985244175968,24,per-signal radial PSD divided by bin 1
Kodak-24,43,0.0004828821195017926,24,per-signal radial PSD divided by bin 1
Kodak-24,44,0.0004420365881575928,24,per-signal radial PSD divided by bin 1
Kodak-24,45,0.00047991238470422126,24,per-signal radial PSD divided by bin 1
Kodak-24,46,0.00040380136589645297,24,per-signal radial PSD divided by bin 1
Kodak-24,47,0.0003879587533869092,24,per-signal radial PSD divided by bin 1
Kodak-24,48,0.0003851700011207275,24,per-signal radial PSD divided by bin 1
Kodak-24,49,0.0004261940729105771,24,per-signal radial PSD divided by bin 1
Kodak-24,50,0.00042177174797172805,24,per-signal radial PSD divided by bin 1
Kodak-24,51,0.0003877745023787396,24,per-signal radial PSD divided by bin 1
Kodak-24,52,0.0003906861759284531,24,per-signal radial PSD divided by bin 1
Kodak-24,53,0.00040822307065680445,24,per-signal radial PSD divided by bin 1
Kodak-24,54,0.00037850176526274683,24,per-signal radial PSD divided by bin 1
Kodak-24,55,0.00032514181720318136,24,per-signal radial PSD divided by bin 1
Kodak-24,56,0.00031169921524180997,24,per-signal radial PSD divided by bin 1
Kodak-24,57,0.0002859307133922164,24,per-signal radial PSD divided by bin 1
Kodak-24,58,0.0002660935515335606,24,per-signal radial PSD divided by bin 1
Kodak-24,59,0.0002455281496032777,24,per-signal radial PSD divided by bin 1
Kodak-24,60,0.00026213685627911684,24,per-signal radial PSD divided by bin 1
Kodak-24,61,0.00024655090580919615,24,per-signal radial PSD divided by bin 1
Kodak-24,62,0.00022178002847306105,24,per-signal radial PSD divided by bin 1
Kodak-24,63,0.0002013319861886919,24,per-signal radial PSD divided by bin 1
Kodak-24,64,0.0002076436621239625,24,per-signal radial PSD divided by bin 1
Kodak-24,65,0.0001925941179632192,24,per-signal radial PSD divided by bin 1
Kodak-24,66,0.0002051711538074735,24,per-signal radial PSD divided by bin 1
Kodak-24,67,0.0001806455401344644,24,per-signal radial PSD divided by bin 1
Kodak-24,68,0.00017701468493756608,24,per-signal radial PSD divided by bin 1
Kodak-24,69,0.00018286728211292465,24,per-signal radial PSD divided by bin 1
Kodak-24,70,0.0001753132302961018,24,per-signal radial PSD divided by bin 1
Kodak-24,71,0.00017476413857724183,24,per-signal radial PSD divided by bin 1
Kodak-24,72,0.0001653121280603314,24,per-signal radial PSD divided by bin 1
Kodak-24,73,0.00016513161767826973,24,per-signal radial PSD divided by bin 1
Kodak-24,74,0.00015387461048556084,24,per-signal radial PSD divided by bin 1
Kodak-24,75,0.000159162560161406,24,per-signal radial PSD divided by bin 1
Kodak-24,76,0.00015239948879546306,24,per-signal radial PSD divided by bin 1
Kodak-24,77,0.00013613454852390508,24,per-signal radial PSD divided by bin 1
Kodak-24,78,0.00015051873676668844,24,per-signal radial PSD divided by bin 1
Kodak-24,79,0.00012528697944765425,24,per-signal radial PSD divided by bin 1
Kodak-24,80,0.00012229337707198192,24,per-signal radial PSD divided by bin 1
Kodak-24,81,0.0001196319014561392,24,per-signal radial PSD divided by bin 1
Kodak-24,82,0.00010776763520557275,24,per-signal radial PSD divided by bin 1
Kodak-24,83,0.00011668757381513608,24,per-signal radial PSD divided by bin 1
Kodak-24,84,0.00011231330275162411,24,per-signal radial PSD divided by bin 1
