schema,schema_version,run_id,experiment,profile,seed,instance_id,split,method,metric,value,unit,status,duration_seconds,metadata_json
peps.instance_metric,1,20260721T175141764666Z-smoke-texture-course_fast-s0-737949da,smoke-texture,course_fast,0,synthetic-texture,test,NTC_N-smoke,psnr,6.22885053613204,dB,ok,0.04342120699584484,"{""compression_factor"":3.639810426540284,""metric_versions"":{""flip-evaluator"":""1.7"",""lpips"":""0.1.4"",""torch"":""2.10.0+rocm7.0"",""torchmetrics"":""1.9.0""},""parameters"":{""decoder"":246,""encoder"":176,""total"":422},""role"":""canonical"",""scope"":""instance""}"
peps.instance_metric,1,20260721T175141764666Z-smoke-texture-course_fast-s0-737949da,smoke-texture,course_fast,0,synthetic-texture,test,NTC_N-smoke,psnr,5.902504854676518,dB,ok,0.04342120699584484,"{""compression_factor"":3.639810426540284,""map_id"":""diffuse"",""metric_versions"":{""flip-evaluator"":""1.7"",""lpips"":""0.1.4"",""torch"":""2.10.0+rocm7.0"",""torchmetrics"":""1.9.0""},""parameters"":{""decoder"":246,""encoder"":176,""total"":422},""role"":""canonical"",""scope"":""texture_map"",""semantic"":""DIFF""}"
peps.instance_metric,1,20260721T175141764666Z-smoke-texture-course_fast-s0-737949da,smoke-texture,course_fast,0,synthetic-texture,test,NTC_N-smoke,psnr,6.55519621758756,dB,ok,0.04342120699584484,"{""compression_factor"":3.639810426540284,""map_id"":""rough"",""metric_versions"":{""flip-evaluator"":""1.7"",""lpips"":""0.1.4"",""torch"":""2.10.0+rocm7.0"",""torchmetrics"":""1.9.0""},""parameters"":{""decoder"":246,""encoder"":176,""total"":422},""role"":""canonical"",""scope"":""texture_map"",""semantic"":""rough""}"
peps.instance_metric,1,20260721T175141764666Z-smoke-texture-course_fast-s0-737949da,smoke-texture,course_fast,0,synthetic-texture,test,NTC_N-smoke,psnr,5.902504854676518,dB,ok,0.04342120699584484,"{""compression_factor"":3.639810426540284,""metric_versions"":{""flip-evaluator"":""1.7"",""lpips"":""0.1.4"",""torch"":""2.10.0+rocm7.0"",""torchmetrics"":""1.9.0""},""parameters"":{""decoder"":246,""encoder"":176,""total"":422},""role"":""canonical"",""scope"":""texture_semantic"",""semantic"":""DIFF""}"
peps.instance_metric,1,20260721T175141764666Z-smoke-texture-course_fast-s0-737949da,smoke-texture,course_fast,0,synthetic-texture,test,NTC_N-smoke,psnr,6.55519621758756,dB,ok,0.04342120699584484,"{""compression_factor"":3.639810426540284,""metric_versions"":{""flip-evaluator"":""1.7"",""lpips"":""0.1.4"",""torch"":""2.10.0+rocm7.0"",""torchmetrics"":""1.9.0""},""parameters"":{""decoder"":246,""encoder"":176,""total"":422},""role"":""canonical"",""scope"":""texture_semantic"",""semantic"":""rough""}"
peps.instance_metric,1,20260721T175141764666Z-smoke-texture-course_fast-s0-737949da,smoke-texture,course_fast,0,synthetic-texture,test,Grid-PinkPEPS-smoke,psnr,7.895543667426937,dB,ok,1.7738464090507478,"{""compression_factor"":6.453781512605042,""map_id"":""diffuse"",""metric_versions"":{""flip-evaluator"":""1.7"",""lpips"":""0.1.4"",""torch"":""2.10.0+rocm7.0"",""torchmetrics"":""1.9.0""},""parameters"":{""decoder"":110,""encoder"":128,""total"":238},""role"":""canonical"",""scope"":""texture_map"",""semantic"":""DIFF""}"
peps.instance_metric,1,20260721T175141764666Z-smoke-texture-course_fast-s0-737949da,smoke-texture,course_fast,0,synthetic-texture,test,Grid-PinkPEPS-smoke,psnr,5.64359033075716,dB,ok,1.7738464090507478,"{""compression_factor"":6.453781512605042,""map_id"":""rough"",""metric_versions"":{""flip-evaluator"":""1.7"",""lpips"":""0.1.4"",""torch"":""2.10.0+rocm7.0"",""torchmetrics"":""1.9.0""},""parameters"":{""decoder"":110,""encoder"":128,""total"":238},""role"":""canonical"",""scope"":""texture_map"",""semantic"":""rough""}"
peps.instance_metric,1,20260721T175141764666Z-smoke-texture-course_fast-s0-737949da,smoke-texture,course_fast,0,synthetic-texture,test,Grid-PinkPEPS-smoke,psnr,6.769566999092048,dB,ok,1.7738464090507478,"{""compression_factor"":6.453781512605042,""metric_versions"":{""flip-evaluator"":""1.7"",""lpips"":""0.1.4"",""torch"":""2.10.0+rocm7.0"",""torchmetrics"":""1.9.0""},""parameters"":{""decoder"":110,""encoder"":128,""total"":238},""role"":""canonical"",""scope"":""instance""}"
peps.instance_metric,1,20260721T175141764666Z-smoke-texture-course_fast-s0-737949da,smoke-texture,course_fast,0,synthetic-texture,test,Grid-PinkPEPS-smoke,psnr,7.895543667426937,dB,ok,1.7738464090507478,"{""compression_factor"":6.453781512605042,""metric_versions"":{""flip-evaluator"":""1.7"",""lpips"":""0.1.4"",""torch"":""2.10.0+rocm7.0"",""torchmetrics"":""1.9.0""},""parameters"":{""decoder"":110,""encoder"":128,""total"":238},""role"":""canonical"",""scope"":""texture_semantic"",""semantic"":""DIFF""}"
peps.instance_metric,1,20260721T175141764666Z-smoke-texture-course_fast-s0-737949da,smoke-texture,course_fast,0,synthetic-texture,test,Grid-PinkPEPS-smoke,psnr,5.64359033075716,dB,ok,1.7738464090507478,"{""compression_factor"":6.453781512605042,""metric_versions"":{""flip-evaluator"":""1.7"",""lpips"":""0.1.4"",""torch"":""2.10.0+rocm7.0"",""torchmetrics"":""1.9.0""},""parameters"":{""decoder"":110,""encoder"":128,""total"":238},""role"":""canonical"",""scope"":""texture_semantic"",""semantic"":""rough""}"
