scope,paper_table,artifact,loss,instance,method,method_key,seed,iou,paper_iou,delta_iou,l1,mape,flip,encoder_params,decoder_params,total_params,evaluated_voxels,training_seconds,streamed_evaluation_seconds,render_and_flip_seconds,total_gpu_occupied_seconds,physical_gpu_id
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,armadillo,Grid-PEPS,grid_peps,0,0.9716882764958499,0.957,0.014688276495849917,0.0012928119234551397,5.21506656886422,0.06909657269716263,589824,16513,606337,134217728,3579.6326364199995,4.001208450001286,0.0744776899991848,3583.70832256,3
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,armadillo,Hash,hash,0,0.6622782004597949,0.761,-0.0987217995402051,0.042316969600203425,95.98982604559757,0.5477614998817444,589824,9601,599425,134217728,1152.3489330180018,4.754215408000164,0.07544018699991284,1157.178588613002,3
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,armadillo,LPE,lpe,0,0.9852778644062931,0.956,0.029277864406293097,0.0015816490432569701,2.8663796906165664,0.06301143765449524,589824,9601,599425,134217728,1167.2460368599986,4.408808004000093,0.053988711999409134,1171.7088335759981,2
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,armadillo,M-Grid,m_grid,0,0.9895386162354488,0.957,0.03253861623544885,0.0010131289853656119,2.057019544022036,0.05146048963069916,598016,8833,606849,134217728,1008.7520456860002,2.391893785999855,0.04939675800051191,1011.1933362300006,2
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,armadillo,M-Hash,m_hash,0,0.9782904781724182,0.957,0.021290478172418248,0.0015703577672040044,4.20435571487921,0.065987728536129,598016,8961,606977,134217728,1818.4584469949987,7.922210130000167,0.05818045100022573,1826.438837575999,3
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,armadillo,M-HashPEPS,m_hashpeps,0,0.9743448457211252,0.957,0.017344845721125268,0.0016495495628572438,4.879926254973923,0.06888256967067719,598016,12033,610049,134217728,3980.8445787829987,25.099667369999224,0.04909306499757804,4005.9933392179955,2
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,armadillo,M-PEPS,m_peps,0,0.9816258658917495,0.957,0.024625865891749532,0.0015957794553218777,3.630455064047132,0.061881840229034424,598016,11137,609153,134217728,1902.6037443990026,3.2148772809996444,0.05030561399689759,1905.8689272939991,3
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,armadillo,PE,pe,0,0.950230998819094,0.943,0.007230998819094059,0.0023704589483113823,8.929128922498016,0.115416020154953,0,12481,12481,134217728,906.4608307620001,3.07173486299871,0.049710650000633905,909.5822762749995,2
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,armadillo,TI-Grid,grid,0,0.9859714640662334,0.956,0.02997146406623341,0.0012719412178383098,2.724181027971117,0.057932619005441666,589824,9601,599425,134217728,1222.3720051960008,2.44602476900036,0.04844530099944677,1224.8664752660006,2
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,lucy,Grid-PEPS,grid_peps,0,0.9281017361319851,0.909,0.01910173613198507,0.0012721278625323408,3.929063886203543,,589824,16513,606337,134217728,3578.2573245420062,3.5935168550058734,2.0999868866056204e-07,3581.850841607011,3
