schema,schema_version,artifact,paper_table,scope,training_loss,shape,method,iou,paper_iou,delta_iou,l1,mape,flip,encoder_params,decoder_params,total_params,seed,paper_global_comparable
peps.sdf_repro_per_shape,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,mape,lucy,PE,0.7431787449082802,0.893,-0.14982125509171984,0.0052381969952244554,4.266527504188171,,0,12481,12481,0,False
peps.sdf_repro_per_shape,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,mape,thai-statue,PE,0.715091818188395,0.918,-0.20290818181160508,0.005100608314487368,5.4906039392821215,,0,12481,12481,0,False
peps.sdf_repro_per_shape,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,mape,armadillo,PE,0.8867888704740761,0.952,-0.0652111295259239,0.007049758631578631,7.420953915379271,,0,12481,12481,0,False
peps.sdf_repro_per_shape,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,mape,lucy,LPE,0.9494678129250237,0.902,0.04746781292502367,0.001963234781797236,1.8138679450122916,,589824,9601,599425,0,False
peps.sdf_repro_per_shape,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,mape,thai-statue,LPE,0.9555458298860497,0.925,0.030545829886049702,0.0016781045735688787,2.007661901889101,,589824,9601,599425,0,False
peps.sdf_repro_per_shape,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,mape,armadillo,LPE,0.9846463895465817,0.956,0.02864638954658172,0.001943871422288946,2.752706857390321,,589824,9601,599425,0,False
peps.sdf_repro_per_shape,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,mape,lucy,TI-Grid,0.86272639644674,0.904,-0.04127360355326004,0.001115657849349252,2.055339168281276,,589824,9601,599425,0,False
peps.sdf_repro_per_shape,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,mape,thai-statue,TI-Grid,0.8918929980602066,0.926,-0.034107001939793435,0.0009784873087301444,2.7490819914833016,,589824,9601,599425,0,False
peps.sdf_repro_per_shape,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,mape,armadillo,TI-Grid,0.9477488312738648,0.955,-0.007251168726135182,0.0010855173610095816,3.1199448719777036,,589824,9601,599425,0,False
peps.sdf_repro_per_shape,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,mape,lucy,Grid-PEPS,0.9569297285517198,0.909,0.04792972855171973,0.0011722869549491033,1.3729287572687243,,589824,16513,606337,0,False
peps.sdf_repro_per_shape,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,mape,thai-statue,Grid-PEPS,0.9616819673878664,0.93,0.03168196738786633,0.0017211399988620454,1.5980898032723452,,589824,16513,606337,0,False
peps.sdf_repro_per_shape,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,mape,armadillo,Grid-PEPS,0.9899492216889512,0.957,0.0329492216889512,0.001062305517502116,1.3838788680371252,,589824,16513,606337,0,False
peps.sdf_repro_per_shape,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,mape,lucy,Hash,0.7209266943574029,0.64,0.08092669435740285,0.07270357614563572,15.715744942644367,,589824,9601,599425,0,False
peps.sdf_repro_per_shape,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,mape,thai-statue,Hash,0.6320989408565754,0.574,0.05809894085657541,0.10780302136470869,22.441155613227846,,589824,9601,599425,0,False
peps.sdf_repro_per_shape,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,mape,armadillo,Hash,0.7492486589217395,0.637,0.11224865892173952,0.09671208664561594,26.775796514539014,,589824,9601,599425,0,False
peps.sdf_repro_per_shape,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,mape,lucy,Hash-PEPS,0.8554278531316052,0.876,-0.020572146868394814,0.04018242608452762,10.1641589447409,,589824,16513,606337,0,False
peps.sdf_repro_per_shape,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,mape,thai-statue,Hash-PEPS,0.8731035202795239,0.831,0.04210352027952391,0.04480041435102869,11.593777145260091,,589824,16513,606337,0,False
peps.sdf_repro_per_shape,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,mape,armadillo,Hash-PEPS,0.8844452723829673,0.788,0.0964452723829673,0.05170269354764537,17.179946306091985,,589824,16513,606337,0,False
peps.sdf_repro_per_shape,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,mape,lucy,M-Grid,0.9414262328439416,0.902,0.03942623284394153,0.0019888456336091044,1.442214843934701,,598016,8833,606849,0,False
peps.sdf_repro_per_shape,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,mape,thai-statue,M-Grid,0.9344487726158237,0.924,0.010448772615823665,0.0010271595739244706,1.6110152679765577,,598016,8833,606849,0,False
