schema,schema_version,artifact,paper_table,scope,shape_count,method,mean_iou,paper_three_shape_mean_iou,delta_iou,paper_global_comparable,omitted_shape,omitted_status
peps.sdf_repro_three_shape_aggregate,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,3,PE,0.7816864778569171,0.9209999999999999,-0.1393135221430828,False,pitted-stonefish,deferred_auth_required
peps.sdf_repro_three_shape_aggregate,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,3,LPE,0.9632200107858852,0.9276666666666666,0.03555334411921851,False,pitted-stonefish,deferred_auth_required
peps.sdf_repro_three_shape_aggregate,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,3,TI-Grid,0.9007894085936038,0.9283333333333333,-0.027543924739729553,False,pitted-stonefish,deferred_auth_required
peps.sdf_repro_three_shape_aggregate,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,3,Grid-PEPS,0.9695203058761791,0.932,0.03752030587617905,False,pitted-stonefish,deferred_auth_required
peps.sdf_repro_three_shape_aggregate,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,3,Hash,0.7007580980452394,0.617,0.08375809804523937,False,pitted-stonefish,deferred_auth_required
peps.sdf_repro_three_shape_aggregate,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,3,Hash-PEPS,0.8709922152646987,0.8316666666666667,0.039325548598032056,False,pitted-stonefish,deferred_auth_required
peps.sdf_repro_three_shape_aggregate,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,3,M-Grid,0.9542448104596678,0.9273333333333333,0.02691147712633446,False,pitted-stonefish,deferred_auth_required
peps.sdf_repro_three_shape_aggregate,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,3,M-PEPS,0.9838812361720488,0.9316666666666666,0.05221456950538217,False,pitted-stonefish,deferred_auth_required
peps.sdf_repro_three_shape_aggregate,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,3,M-Hash,0.9813507947321555,0.9323333333333333,0.049017461398822126,False,pitted-stonefish,deferred_auth_required
peps.sdf_repro_three_shape_aggregate,1,sdf-table3-mape-public-three,Table 3,3-of-4 public subset,3,M-HashPEPS,0.9792595040581409,0.9323333333333333,0.04692617072480754,False,pitted-stonefish,deferred_auth_required
