instance,provider,method,seed,budget_steps,psnr,ssim,psnr_AO,psnr_ARM,psnr_DIFF,psnr_Displacement,psnr_metal,psnr_normal,psnr_rough,psnr_specular,ssim_AO,ssim_ARM,ssim_DIFF,ssim_Displacement,ssim_metal,ssim_normal,ssim_rough,ssim_specular,interval_train_seconds,cumulative_train_seconds,interval_steps_per_second,evaluation_seconds,completed_trajectory
rails-001,ambientcg,BI-Grid,0,10,5.329004602917835,0.10667468855778377,0.9517178471959402,,6.3293815401451745,3.433333844290334,10.171931394797726,4.607893476371795,6.47976951470604,,0.02177230827510357,,0.023562857881188393,0.17720822989940643,0.2750353515148163,0.07938046008348465,0.06308892369270325,,0.39047611999990295,0.39047611999990295,25.609760719816837,0.0013226690000465169,True
rails-001,ambientcg,BI-Grid,1,10,5.17587671760866,0.09936451442384471,1.365028410198038,,5.726881919954495,2.9041111119248337,10.179033263137374,3.873283235621945,7.0069223648152725,,0.053546588867902756,,0.00324735208414495,0.11620047688484192,0.27409669756889343,0.04243236407637596,0.10666360706090927,,0.11910094300014862,0.11910094300014862,83.96239146475541,0.0012146080000547954,True
rails-001,ambientcg,BI-Grid,2,10,5.290353542936832,0.12923297813783088,1.2335192995879998,,8.09902420838062,2.3913783128013506,10.004937253378149,3.5916290351886575,6.421633148284216,,0.04352233186364174,,0.05443700775504112,0.0499127022922039,0.5435779690742493,0.026488522067666054,0.05745933577418327,,0.11757833199999368,0.11757833199999368,85.04968415439451,0.0012771389999670646,True
roof-09,polyhaven,BI-Grid,0,10,10.051576808213644,0.22202672734856604,,6.398134993243522,8.048717023147411,5.953317572194882,,4.423890856190036,,25.43382359629237,,0.3893241584300995,0.06829018145799637,0.0548488013446331,,0.15395119786262512,,0.4437192976474762,0.12149210999996285,0.12149210999996285,82.30987180980772,0.0010312379999959376,True
roof-09,polyhaven,BI-Grid,1,10,10.444734313054209,0.24130859300494195,,7.592775561667986,7.973009405148984,6.556502160521864,,4.66156032501555,,25.439824112916654,,0.38909998536109924,0.053826022893190384,0.09824933856725693,,0.18554042279720306,,0.4798271954059601,0.11811350600009973,0.11811350600009973,84.66432280819397,0.001005347000045731,True
roof-09,polyhaven,BI-Grid,2,10,10.104006536206786,0.22337188348174095,,5.7501059535424925,7.5657894135901635,6.498967342354297,,5.091751002491684,,25.61341896905529,,0.38522037863731384,0.05624284967780113,0.08982846140861511,,0.1939779669046402,,0.3915897607803345,0.11758728199993129,0.11758728199993129,85.04321071054133,0.0010020269999131415,True
rails-001,ambientcg,Grid-PinkPEPS4F,0,10,5.084669380182241,0.16943667797992626,0.9465003346293743,,6.60428172574399,3.099639849736307,9.932169191255543,3.59712300333707,6.328302176391162,,0.02110269106924534,,0.025223568081855774,0.14158783853054047,0.7549723982810974,0.025061607360839844,0.048671964555978775,,0.6596856419999995,0.6596856419999995,15.15873525711813,0.0031686930000205393,True
rails-001,ambientcg,Grid-PinkPEPS4F,1,10,5.5887346947856456,0.11164269782602787,1.7489568019966995,,7.470470395662591,3.145427404662304,10.265574097166372,4.225985466583183,6.675994002642719,,0.08096089214086533,,0.0405048169195652,0.14591632783412933,0.26179197430610657,0.06267484277486801,0.07800733298063278,,0.2668275429999767,0.2668275429999767,37.47739040568565,0.0031032419999519334,True
rails-001,ambientcg,Grid-PinkPEPS4F,2,10,5.304210537791359,0.15249964703495303,1.3292548194363087,,6.594488443888497,2.1063214517385904,9.967791969695995,3.4405053051178265,8.386901236870937,,0.0510556697845459,,0.02274540811777115,0.011640307493507862,0.6046931147575378,0.021937580779194832,0.20292580127716064,,0.2670917359999976,0.2670917359999976,37.44031975590623,0.002959250999992946,True
roof-09,polyhaven,Grid-PinkPEPS4F,0,10,10.277381058790857,0.20159366875886917,,6.166086457979216,9.699043641963447,6.5757905707105335,,5.063031228469271,,23.882953394831816,,0.339745432138443,0.1261221468448639,0.10330644994974136,,0.08834019303321838,,0.3504541218280792,0.29214903700017203,0.29214903700017203,34.22910478391928,0.0031266130001768033,True
roof-09,polyhaven,Grid-PinkPEPS4F,1,10,9.80787088906224,0.12225103010423481,,7.186641373886054,6.534532973663659,5.460436244730124,,4.4027467933190305,,25.45499705971234,,0.1563156247138977,0.0011777498293668032,0.012287531979382038,,0.13523678481578827,,0.30623745918273926,0.2657288460000018,0.2657288460000018,37.63234647095834,0.0029230720001578447,True
roof-09,polyhaven,Grid-PinkPEPS4F,2,10,10.443361265090195,0.13164537437260151,,5.705188474440167,9.572543552160099,6.006364243440778,,5.484589676497736,,25.448120378912197,,0.028055155649781227,0.11509156227111816,0.06296597421169281,,0.14356325566768646,,0.3085509240627289,0.26545678399997996,0.26545678399997996,37.67091520253163,0.002923921000046903,True
rails-001,ambientcg,LPE,0,10,5.362696950098143,0.10598166721562545,1.5346810948013414,,6.204878200278249,3.4572055298503774,10.092749727946638,4.306284372927252,6.580382774784999,,0.06560350209474564,,0.015912991017103195,0.18008148670196533,0.24564862251281738,0.05736693739891052,0.0712764635682106,,0.6268858739999814,0.6268858739999814,15.951866862452697,0.002178016000016214,True
rails-001,ambientcg,LPE,1,10,5.212217546518508,0.12359820942947408,1.0022372453457216,,7.419737621699751,2.767757614375169,10.046786904711473,4.194792846377064,5.841993046601869,,0.025422194972634315,,0.04329662397503853,0.0990741178393364,0.5159910321235657,0.05763331055641174,0.00017197710985783488,,0.22843543600015437,0.22843543600015437,43.776045324216874,0.002445417999979327,True
rails-001,ambientcg,LPE,2,10,5.300405580542842,0.16346731254210076,1.584485497215177,,6.403851938331615,2.63250771080843,9.964624967757423,3.444746010674163,7.772217358470243,,0.06816162914037704,,0.020396310836076736,0.08480676263570786,0.6195067763328552,0.022448578849434853,0.16548381745815277,,0.1179318649999459,0.1179318649999459,84.79472447929648,0.0016866219998519227,True
roof-09,polyhaven,LPE,0,10,9.854643736999734,0.11412791050970554,,6.76187343925334,6.958695334242117,6.138958388967159,,3.963928712532654,,25.4497628100034,,0.01667560078203678,0.015597544610500336,0.07316169887781143,,0.03651448339223862,,0.42869022488594055,0.29172607500004233,0.29172607500004233,34.27873219765682,0.0023464170001261664,True
roof-09,polyhaven,LPE,1,10,10.401272688907566,0.15177419185638427,,7.637228455035718,7.733719661822595,6.182428407086032,,4.706447623159827,,25.746539297433664,,0.19082599878311157,0.05289912223815918,0.0774560198187828,,0.06256932765245438,,0.37512049078941345,0.11823323699991306,0.11823323699991306,84.57858596908206,0.001812192999977924,True
roof-09,polyhaven,LPE,2,10,9.670226193344323,0.14013866819441317,,5.54701225293732,6.721584722188524,6.281171655121756,,4.317464665087984,,25.48389767138604,,0.06197579205036163,0.01784159429371357,0.08546948432922363,,0.07957485318183899,,0.4558316171169281,0.11827504699999736,0.11827504699999736,84.54868760272167,0.0018203140000423446,True
rails-001,ambientcg,NTC_N,0,10,5.111042802788579,0.15668423701329934,1.4592849553247955,,6.674170469768981,2.0233640004055493,9.939918065636743,4.39917764408763,6.170341681507773,,0.0595208965241909,,0.026286354288458824,0.0003651125880423933,0.7532939314842224,0.06755421310663223,0.03308491408824921,,0.5528173969998988,0.5528173969998988,18.08915575788551,0.002189335999901232,True
rails-001,ambientcg,NTC_N,1,10,5.1916895310909315,0.1738589576755961,1.5887322631108602,,6.600596302043523,2.6736305878836464,9.932246602044126,3.8287393154925087,6.526192115970924,,0.06990649551153183,,0.02986142970621586,0.08703944832086563,0.7541882991790771,0.03496129438281059,0.06719677895307541,,0.1460957879999114,0.1460957879999114,68.44824301167439,0.001987154000062219,True
rails-001,ambientcg,NTC_N,2,10,5.2754320036316145,0.10203089875479539,0.9817780849673787,,6.6940351789445725,3.2231432604864434,10.134094591371358,4.207750533891818,6.411790372128117,,0.02416955679655075,,0.02672620117664337,0.15122580528259277,0.29656025767326355,0.058815937489271164,0.054687634110450745,,0.14494525099985367,0.14494525099985367,68.99156702974764,0.0020467450001433463,True
roof-09,polyhaven,NTC_N,0,10,9.997486122257229,0.13218688517808913,,6.588274994573978,7.220059017636671,5.519588594716359,,4.883865502466701,,25.775642501892435,,0.0243562962859869,0.059375494718551636,0.01797415502369404,,0.17629510164260864,,0.3829333782196045,0.1472368770000685,0.1472368770000685,67.91776763911767,0.0020061640000221814,True
roof-09,polyhaven,NTC_N,1,10,10.225488698554637,0.21336620002985002,,5.945370544864255,8.188295568490936,7.472400258853159,,3.936158005132613,,25.58521911543222,,0.29571107029914856,0.09754540771245956,0.15826161205768585,,0.07314872741699219,,0.44216418266296387,0.15311748899989652,0.15311748899989652,65.30932596476133,0.003753037000024051,True
roof-09,polyhaven,NTC_N,2,10,9.844637354958236,0.205761194601655,,6.144393475438754,7.074084764985117,6.301688790900677,,4.435977246011291,,25.267042497455343,,0.34347984194755554,0.027369404211640358,0.08662822842597961,,0.09765119105577469,,0.47367730736732483,0.14423247500008074,0.14423247500008074,69.33251336076984,0.0020502440002019284,True
rails-001,ambientcg,NTC_PinkPEPS,0,10,5.112013946228622,0.13925057789310813,0.8376066620089955,,6.850482745262139,2.5208404391581283,9.966138188069243,3.9647967645453353,6.532218878327889,,0.01236796099692583,,0.0331098735332489,0.0687822476029396,0.6060965657234192,0.049920227378606796,0.06522659212350845,,0.6460890729999846,0.6460890729999846,15.477742029542478,0.018488243999854603,True
