map_id,semantic,method,mean_flip
ambient-occlusion,AO,BI-Grid,0.010291656479239464
ambient-occlusion,AO,Grid-PEPS4F,0.011458351276814938
ambient-occlusion,AO,Grid-PinkPEPS4F,0.010954124853014946
ambient-occlusion,AO,NTC_N,0.01290388684719801
ambient-occlusion,AO,NTC_PEPS,0.010016595013439655
ambient-occlusion,AO,NTC_PinkPEPS,0.01067599281668663
color,DIFF,BI-Grid,0.08399057388305664
color,DIFF,Grid-PEPS4F,0.07737629860639572
color,DIFF,Grid-PinkPEPS4F,0.08118964731693268
color,DIFF,NTC_N,0.08496652543544769
color,DIFF,NTC_PEPS,0.07529409229755402
color,DIFF,NTC_PinkPEPS,0.07023053616285324
displacement,Displacement,BI-Grid,0.009835139848291874
displacement,Displacement,Grid-PEPS4F,0.010079912841320038
displacement,Displacement,Grid-PinkPEPS4F,0.010125859640538692
displacement,Displacement,NTC_N,0.016059668734669685
displacement,Displacement,NTC_PEPS,0.015927104279398918
displacement,Displacement,NTC_PinkPEPS,0.017337026074528694
normal-gl,normal,BI-Grid,0.1010747104883194
normal-gl,normal,Grid-PEPS4F,0.12498758733272552
normal-gl,normal,Grid-PinkPEPS4F,0.12448891252279282
normal-gl,normal,NTC_N,0.11318908631801605
normal-gl,normal,NTC_PEPS,0.1390782743692398
normal-gl,normal,NTC_PinkPEPS,0.13889442384243011
roughness,rough,BI-Grid,0.04128582775592804
roughness,rough,Grid-PEPS4F,0.045478057116270065
roughness,rough,Grid-PinkPEPS4F,0.044812578707933426
roughness,rough,NTC_N,0.041547082364559174
roughness,rough,NTC_PEPS,0.044964998960494995
roughness,rough,NTC_PinkPEPS,0.04605604708194733
