instance,loss,normalisation_exponent,method,psnr_db,contrast_vs_bi_grid_db
metal-plates-013,global_l1,0.0,NTC_N,43.180958,
metal-plates-013,global_l1,0.0,NTC_PEPS,45.500813,
metal-plates-013,per_map_normalised_l1,1.0,NTC_N,44.476039,
metal-plates-013,per_map_normalised_l1,1.0,NTC_PEPS,46.686515,
paving-stones-070,global_l1,0.0,BI-Grid,34.541136,
paving-stones-070,global_l1,0.0,NTC_N,33.910148,
paving-stones-070,global_l1,0.0,NTC_PEPS,34.470241,-0.070894
paving-stones-070,sqrt_map_l1,0.5,BI-Grid,35.754233,
paving-stones-070,sqrt_map_l1,0.5,NTC_N,34.8824,
paving-stones-070,sqrt_map_l1,0.5,NTC_PEPS,36.122255,0.368023
paving-stones-070,per_map_normalised_l1,1.0,BI-Grid,36.406615,
paving-stones-070,per_map_normalised_l1,1.0,NTC_N,35.219176,
paving-stones-070,per_map_normalised_l1,1.0,NTC_PEPS,38.411061,2.004446
