method,AO,ARM,DIFF,Displacement,metal,normal,rough,specular
BI-Grid,42.0994,39.7202,37.8242,53.1967,49.2052,33.4871,39.4105,44.896
Grid-PEPS4F,41.7726,38.5941,37.9662,53.101,50.8039,33.1839,38.889,46.2148
Grid-PEPS4F-25,40.5064,37.6557,36.507,52.4217,49.7098,32.1184,37.4101,43.0086
Grid-PinkPEPS4F,42.0847,38.9771,38.2887,53.3171,50.0838,33.3539,39.4094,46.5851
Grid-PinkPEPS4F-25,40.8031,37.9858,36.824,52.6609,48.6933,32.2326,37.764,43.6603
LPE,40.4634,37.3653,36.3632,51.1538,47.0734,32.5583,37.3886,42.1493
NTC_N,40.8692,38.2493,36.6721,51.1883,48.617,32.4714,38.3119,43.3798
NTC_PEPS,41.9259,39.1996,38.158,52.0282,51.273,33.1269,39.5023,46.8995
NTC_PEPS-25,40.3187,37.5269,36.5293,51.2723,50.6853,32.0224,38.388,43.4599
NTC_PinkPEPS,41.8377,39.0312,38.1128,51.6781,49.863,32.7778,39.2238,46.1498
NTC_PinkPEPS-25,40.4516,37.7089,36.5723,50.9117,48.8574,31.7076,37.6676,43.2022
