rank,instance,mean_gap_db,seed_spread_db
1,fabric-pattern-07,-0.4534,0.0409
2,rails-001,-0.2634,0.3019
3,aerial-rocks-02,0.2219,0.206
4,forest-sand-01,0.3697,0.4613
5,red-dirt-mud-01,0.4576,0.5363
6,clay-roof-tiles-02,0.5366,0.0344
7,treasure-chest,0.7334,0.1523
8,paving-stones-070,0.7345,0.1272
9,wood-063,1.0451,1.3945
10,bricks-090,1.1945,0.2852
11,bench-vice-01,1.6221,0.1938
12,cannon-01,1.6348,0.2993
13,wood-planks,1.6615,0.2467
14,cardboard-box-01,1.8675,0.1987
15,roof-09,1.9512,0.749
16,metal-plates-013,2.5487,0.3021
17,garden-sprinkler-01,2.5518,0.2648
18,garden-gnome,4.061,0.5785
