schema_version,run_id,source_kind,legacy_method_label,nominal_payload_bits_per_parameter,seed,profile,method,train_steps,model_params,ablation,latent_bits,weight_bits,bias_bits,latent_granularity,weight_granularity,payload_bits,scale_bits,metadata_bits,total_encoded_bits,total_encoded_bytes,bits_per_parameter,bits_per_pixel,bits_per_texel,psnr_db,paired_size_gap_pct,matched_size,claim_status
2,w10-s7-grid-fp32,repeated_matched_run,,,7,course_fast,grid,2500,140163,fp32,32,32,32,per_tensor,per_tensor,4485216,0,3472,4488688,561086,32.02477116,45.66129557,45.66129557,40.397845,0.058068,true,hypothesis_pending_repeated_matched_size
2,w10-s7-peps-fp32,repeated_matched_run,,,7,course_fast,peps,2500,140235,fp32,32,32,32,per_tensor,per_tensor,4487520,0,3776,4491296,561412,32.02692623,45.68782552,45.68782552,42.347498,0.058068,true,hypothesis_pending_repeated_matched_size
2,w10-s7-grid-int8_per_tensor,repeated_matched_run,,,7,course_fast,grid,2500,140163,int8_per_tensor,8,8,32,per_tensor,per_tensor,1125984,160,3472,1129616,141202,8.05930238,11.49104818,11.49104818,36.145151,0.077842,true,hypothesis_pending_repeated_matched_size
2,w10-s7-peps-int8_per_tensor,repeated_matched_run,,,7,course_fast,peps,2500,140235,int8_per_tensor,8,8,32,per_tensor,per_tensor,1126560,160,3776,1130496,141312,8.06143973,11.50000000,11.50000000,41.717616,0.077842,true,hypothesis_pending_repeated_matched_size
2,w10-s7-grid-int8_per_channel,repeated_matched_run,,,7,course_fast,grid,2500,140163,int8_per_channel,8,8,32,per_channel,per_channel,1125984,6496,3472,1135952,141994,8.10450690,11.55550130,11.55550130,39.517110,0.077408,true,hypothesis_pending_repeated_matched_size
2,w10-s7-peps-int8_per_channel,repeated_matched_run,,,7,course_fast,peps,2500,140235,int8_per_channel,8,8,32,per_channel,per_channel,1126560,6496,3776,1136832,142104,8.10662103,11.56445312,11.56445312,41.693971,0.077408,true,hypothesis_pending_repeated_matched_size
2,w10-s7-grid-mixed_l6_w8_pc,repeated_matched_run,,,7,course_fast,grid,2500,140163,mixed_l6_w8_pc,6,8,32,per_tensor,per_channel,863840,6272,3472,873584,109198,6.23262915,8.88655599,8.88655599,33.588295,1.468969,true,hypothesis_pending_repeated_matched_size
2,w10-s7-peps-mixed_l6_w8_pc,repeated_matched_run,,,7,course_fast,peps,2500,140235,mixed_l6_w8_pc,6,8,32,per_tensor,per_channel,876560,6272,3776,886608,110826,6.32230185,9.01904297,9.01904297,38.216628,1.468969,true,hypothesis_pending_repeated_matched_size
2,w10-s17-grid-fp32,repeated_matched_run,,,17,course_fast,grid,2500,140163,fp32,32,32,32,per_tensor,per_tensor,4485216,0,3472,4488688,561086,32.02477116,45.66129557,45.66129557,40.022238,0.058068,true,hypothesis_pending_repeated_matched_size
2,w10-s17-peps-fp32,repeated_matched_run,,,17,course_fast,peps,2500,140235,fp32,32,32,32,per_tensor,per_tensor,4487520,0,3776,4491296,561412,32.02692623,45.68782552,45.68782552,41.890779,0.058068,true,hypothesis_pending_repeated_matched_size
2,w10-s17-grid-int8_per_tensor,repeated_matched_run,,,17,course_fast,grid,2500,140163,int8_per_tensor,8,8,32,per_tensor,per_tensor,1125984,160,3472,1129616,141202,8.05930238,11.49104818,11.49104818,37.001964,0.077842,true,hypothesis_pending_repeated_matched_size
2,w10-s17-peps-int8_per_tensor,repeated_matched_run,,,17,course_fast,peps,2500,140235,int8_per_tensor,8,8,32,per_tensor,per_tensor,1126560,160,3776,1130496,141312,8.06143973,11.50000000,11.50000000,40.702729,0.077842,true,hypothesis_pending_repeated_matched_size
